Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,wind-gust,wind-speed
01/01/2020,241.0,0.3,,,17.9,4.0,83.0,164.0,,4.0,,,,,
01/01/2021,111.0,8.0,-1.5,33.5,15.0,3.0,46.0,127.0,1026.0,4.6,12.0,,,,1.8
01/02/2020,,0.2,12.5,82.0,13.0,4.9,78.0,165.0,1019.0,3.6,16.0,,1.2,,
01/03/2020,,2.0,20.5,78.0,10.1,4.5,32.0,58.0,1012.0,3.0,24.0,,3.3,,
01/04/2020,,4.0,15.5,79.5,4.2,4.1,34.0,87.0,1013.0,5.0,19.0,,,,2.8
01/05/2020,,0.2,22.0,88.0,3.7,5.0,38.0,56.0,1011.0,6.0,24.0,,,,2.5
01/06/2020,,0.3,24.0,76.0,7.0,8.0,28.0,33.0,1006.0,6.0,28.5,,,,2.5
01/07/2020,60.0,0.3,24.0,76.0,11.0,7.8,29.0,46.0,1001.0,2.0,29.0,,,,2.8
01/08/2020,34.0,0.2,24.0,72.5,6.4,6.5,21.0,61.0,999.5,3.0,29.0,,,,3.6
01/09/2020,57.0,0.3,23.5,66.0,10.6,,27.0,73.0,1007.0,4.0,30.5,,,,2.5
01/10/2020,11.0,0.3,24.0,80.5,8.0,,16.0,27.0,1007.0,6.0,27.5,,,,2.8
01/11/2020,187.0,0.2,21.0,78.0,14.2,,46.0,100.0,1016.0,7.0,25.0,,,,1.5
01/12/2020,179.0,6.0,8.5,50.0,17.0,6.5,38.0,114.0,1022.0,4.1,19.0,,,,2.8
02/01/2020,182.0,0.3,,,16.0,3.0,68.0,144.0,,3.0,,,,,
02/01/2021,164.0,9.0,4.0,50.0,16.5,4.0,68.0,166.0,1022.5,5.6,13.0,,,,1.8
02/02/2020,,0.2,15.0,87.5,10.0,5.0,83.0,180.0,1018.5,3.0,18.0,,1.0,,
02/03/2020,,2.0,20.5,83.0,8.7,6.0,27.0,55.0,1013.0,3.0,23.0,,4.1,,
02/04/2020,,3.0,18.0,93.0,2.0,4.0,26.0,78.0,1013.0,5.0,19.5,,,,1.2
02/05/2020,,3.0,22.0,73.5,2.3,7.0,43.0,69.0,1009.0,5.0,26.5,,,,2.0
02/06/2020,,0.4,23.5,71.5,8.0,8.0,40.0,66.0,1004.5,6.0,29.5,,,,2.3
02/07/2020,45.0,0.3,25.0,74.0,11.0,9.0,31.0,56.0,1001.0,2.0,30.0,,,,2.8
02/08/2020,13.0,1.0,24.0,85.5,4.6,5.7,9.0,30.0,998.0,3.0,26.0,,,,4.8
02/09/2020,92.0,0.2,24.0,66.0,11.0,,53.0,106.0,1007.0,4.0,31.0,,,,2.0
02/10/2020,54.0,0.3,24.0,83.0,10.0,,27.0,59.0,1008.0,5.0,28.0,,,,2.5
02/11/2020,182.0,0.3,18.0,73.0,13.0,,43.0,84.0,1016.0,7.0,23.0,,,,1.5
02/12/2020,154.0,7.0,11.0,61.0,17.0,5.0,44.0,116.0,1021.0,3.1,18.0,,,,2.8
03/01/2020,107.0,2.0,18.0,69.0,15.0,3.0,44.0,82.0,1019.0,3.0,24.0,,3.6,,3.6
03/01/2021,160.0,9.0,5.0,48.0,15.0,4.0,65.0,163.0,1021.5,5.0,16.0,,,,2.8
03/02/2020,,0.3,15.0,93.0,7.0,4.1,68.0,154.0,1017.0,3.0,18.0,,2.0,,
03/03/2020,,0.2,19.5,91.0,8.3,7.0,16.0,46.0,1013.5,3.0,21.0,,5.1,,
03/04/2020,,0.2,20.0,94.0,4.0,4.0,20.0,76.0,1013.0,5.0,21.0,,,6.6,2.0
03/05/2020,,2.0,24.0,80.5,3.2,7.0,30.0,60.0,1008.0,5.0,27.5,,,,3.3
03/06/2020,,2.0,25.0,68.0,4.0,12.0,32.0,61.0,1003.5,6.0,30.5,,,,2.8
03/07/2020,24.0,3.0,25.0,74.5,9.2,7.8,24.0,63.0,1003.5,2.0,29.5,,,,3.0
03/08/2020,52.0,0.3,24.0,83.0,5.5,4.9,19.0,52.0,999.5,3.6,27.0,,,,3.6
03/09/2020,87.0,0.3,24.5,72.0,11.9,,47.0,89.0,1007.0,4.0,30.0,,,,2.0
03/10/2020,,0.4,24.5,88.0,8.7,,26.0,51.0,1008.5,5.0,26.0,,,,2.0
03/11/2020,72.0,3.0,13.5,60.0,8.7,,19.0,34.0,1019.0,7.0,22.0,,,,2.8
03/12/2020,118.0,7.0,10.0,53.5,11.9,5.0,31.0,116.0,1021.5,3.0,19.0,,,,3.8
04/01/2020,126.0,0.3,19.0,87.5,12.0,3.0,44.0,85.0,1019.0,2.6,21.0,,2.3,,2.3
04/01/2021,158.0,9.0,5.5,48.0,16.0,6.5,65.0,161.0,1021.0,6.0,16.0,,,,1.2
04/02/2020,,3.0,12.5,90.0,1.0,9.0,17.0,40.0,1019.0,3.0,14.0,,3.3,,
04/03/2020,,0.2,14.5,85.0,9.0,4.0,20.0,56.0,1020.0,4.0,17.0,,1.8,,
04/04/2020,,3.0,16.0,82.0,1.0,4.0,12.0,59.0,1016.0,5.0,19.0,,,,4.3
04/05/2020,,0.2,24.5,78.0,4.6,10.2,34.0,48.0,1007.5,5.0,28.0,,,,3.3
04/06/2020,,2.0,25.0,66.0,4.0,12.0,32.0,70.0,1003.0,6.0,30.5,,,,4.1
04/07/2020,24.0,0.3,25.0,79.0,9.6,7.8,20.0,38.0,1005.5,2.0,28.5,,,,2.5
04/08/2020,56.0,0.3,24.5,85.5,6.0,4.9,17.0,53.0,1001.0,3.0,27.0,,,,2.5
04/09/2020,54.0,0.4,24.5,70.0,11.5,,38.0,66.0,1007.5,4.0,30.0,,,,2.0
04/10/2020,,0.2,24.0,78.0,5.5,,12.0,43.0,1009.0,6.0,28.0,,,,2.3
04/11/2020,132.0,4.0,13.0,58.0,15.1,5.3,33.0,97.0,1017.0,4.6,21.5,,,,2.5
04/12/2020,63.0,5.0,7.0,52.0,10.1,6.0,21.0,67.0,1023.0,3.0,17.5,,,,3.3
05/01/2020,136.0,0.2,19.0,88.0,11.0,4.0,47.0,84.0,1017.0,2.0,21.0,,2.5,,2.5
05/01/2021,190.0,12.0,9.0,59.0,16.5,3.3,79.0,178.0,1020.0,5.1,17.0,,,,1.5
05/02/2020,,4.0,13.0,93.0,2.0,7.4,22.0,59.0,1018.3,4.0,14.0,,2.3,,
05/03/2020,,0.3,14.0,82.0,7.8,3.7,30.0,64.0,1018.5,4.0,17.0,,3.3,,
05/04/2020,,4.0,13.0,72.0,1.0,6.0,7.0,27.0,1018.0,5.0,18.0,,,,3.8
05/05/2020,,2.0,25.0,83.0,3.2,8.2,42.0,59.0,1006.0,5.0,28.0,,,,3.8
05/06/2020,,0.4,24.5,72.0,7.0,11.0,34.0,76.0,1002.5,6.0,30.0,,,,2.8
05/07/2020,34.0,0.2,25.0,74.0,7.0,9.0,22.0,44.0,1004.0,2.0,30.0,,,,3.6
05/08/2020,54.0,2.0,24.5,85.5,6.4,5.3,21.0,38.0,1003.0,4.0,27.0,,,,2.5
05/09/2020,29.0,0.2,24.0,68.0,7.0,,26.0,55.0,1005.0,4.0,31.0,,,,3.0
05/10/2020,,0.4,24.0,80.5,5.0,,20.0,34.0,1009.0,5.0,27.0,,,,1.8
05/11/2020,176.0,0.3,16.0,69.0,21.1,4.0,53.0,113.0,1017.0,2.6,23.0,,,,1.5
05/12/2020,76.0,6.0,6.0,54.0,12.0,5.0,22.0,82.0,1023.0,3.0,15.0,,,,3.0
06/01/2020,127.0,0.3,19.0,85.5,11.5,4.0,47.0,85.0,1016.0,2.0,22.0,11.3,4.1,,
06/01/2021,173.0,10.0,9.5,63.0,9.6,6.1,57.0,152.0,1019.0,4.0,16.0,,,,2.5
06/02/2020,,0.3,15.0,93.0,4.2,2.0,57.0,127.0,1016.0,4.0,17.0,,1.8,,
06/03/2020,,0.3,16.0,79.5,14.2,3.0,63.0,136.0,1015.0,5.0,20.5,,2.0,,
06/04/2020,,3.0,15.0,87.0,3.0,5.0,16.0,61.0,1017.0,5.0,17.0,,,,1.8
06/05/2020,,2.0,25.0,79.0,3.0,6.1,37.0,58.0,1005.0,5.0,28.0,,,,3.8
06/06/2020,,0.2,25.0,70.0,8.0,9.0,35.0,76.0,1002.5,6.0,31.0,,,,2.3
06/07/2020,27.0,2.0,25.0,68.0,6.4,9.0,21.0,25.0,1003.0,2.0,30.5,,,,3.3
06/08/2020,31.0,0.4,25.0,88.0,5.1,5.3,14.0,25.0,1005.0,3.0,27.0,,,,3.3
06/09/2020,15.0,0.2,25.5,70.0,8.7,,24.0,35.0,1004.0,4.0,31.0,,,,3.0
06/10/2020,,3.0,20.5,71.0,0.5,,18.0,62.0,1012.5,5.0,25.0,,,,4.3
06/11/2020,207.0,0.3,19.0,73.0,19.2,3.0,59.0,130.0,1017.5,2.0,24.0,,,,1.2
06/12/2020,146.0,7.0,8.0,66.5,16.0,4.0,44.0,122.0,1021.0,3.0,16.5,,,8.2,2.0
07/01/2020,166.0,3.0,19.5,88.0,13.0,3.0,48.0,97.0,1016.0,2.0,21.5,,1.8,,
07/01/2021,157.0,10.0,6.5,60.0,9.0,3.3,50.0,137.0,1020.0,3.6,14.0,,,,4.3
07/02/2020,,0.3,17.0,93.0,4.0,2.0,58.0,129.0,1018.0,4.0,19.0,,1.5,,
07/03/2020,,0.3,18.5,83.0,13.3,3.0,45.0,92.0,1011.5,4.0,22.0,,2.3,,
07/04/2020,,4.0,15.5,77.0,4.0,6.1,34.0,96.0,1015.5,5.0,20.0,,,,2.0
07/05/2020,,0.3,26.0,83.0,3.2,11.0,40.0,69.0,1004.0,5.0,28.0,,,,3.6
07/06/2020,,0.2,23.0,60.5,8.0,8.0,41.0,68.0,1001.0,7.0,32.5,,,,2.3
07/07/2020,26.0,2.0,25.5,70.0,6.4,10.6,27.0,37.0,1005.0,2.0,31.0,,,9.7,4.1
07/08/2020,35.0,0.3,24.5,85.5,4.2,5.7,16.0,30.0,1006.0,4.0,27.0,,,,2.8
07/09/2020,4.0,0.2,23.0,83.0,7.8,,10.0,31.0,1005.0,5.0,26.5,,,,1.5
07/10/2020,,0.1,18.0,68.0,,,15.0,27.0,1014.5,6.0,24.0,,,,4.1
