aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
241.0,0.3,18.76287262872629,72.48915989159892,17.9,4.0,83.0,164.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
111.0,8.0,-1.5,33.5,15.0,3.0,46.0,127.0,1026.0,4.6,12.0,10.984000000000002,1.8
82.26940639269407,0.2,12.5,82.0,13.0,4.9,78.0,165.0,1019.0,3.6,16.0,10.984000000000002,1.2
82.26940639269407,2.0,20.5,78.0,10.1,4.5,32.0,58.0,1012.0,3.0,24.0,10.984000000000002,3.3
82.26940639269407,4.0,15.5,79.5,4.2,4.1,34.0,87.0,1013.0,5.0,19.0,10.984000000000002,2.8
82.26940639269407,0.2,22.0,88.0,3.7,5.0,38.0,56.0,1011.0,6.0,24.0,10.984000000000002,2.5
82.26940639269407,0.3,24.0,76.0,7.0,8.0,28.0,33.0,1006.0,6.0,28.5,10.984000000000002,2.5
60.0,0.3,24.0,76.0,11.0,7.8,29.0,46.0,1001.0,2.0,29.0,10.984000000000002,2.8
34.0,0.2,24.0,72.5,6.4,6.5,21.0,61.0,999.5,3.0,29.0,10.984000000000002,3.6
57.0,0.3,23.5,66.0,10.6,6.215806451612903,27.0,73.0,1007.0,4.0,30.5,10.984000000000002,2.5
11.0,0.3,24.0,80.5,8.0,6.215806451612903,16.0,27.0,1007.0,6.0,27.5,10.984000000000002,2.8
187.0,0.2,21.0,78.0,14.2,6.215806451612903,46.0,100.0,1016.0,7.0,25.0,10.984000000000002,1.5
179.0,6.0,8.5,50.0,17.0,6.5,38.0,114.0,1022.0,4.1,19.0,10.984000000000002,2.8
182.0,0.3,18.76287262872629,72.48915989159892,16.0,3.0,68.0,144.0,1011.5983739837399,3.0,24.056910569105693,10.984000000000002,2.8048780487804876
164.0,9.0,4.0,50.0,16.5,4.0,68.0,166.0,1022.5,5.6,13.0,10.984000000000002,1.8
82.26940639269407,0.2,15.0,87.5,10.0,5.0,83.0,180.0,1018.5,3.0,18.0,10.984000000000002,1.0
82.26940639269407,2.0,20.5,83.0,8.7,6.0,27.0,55.0,1013.0,3.0,23.0,10.984000000000002,4.1
82.26940639269407,3.0,18.0,93.0,2.0,4.0,26.0,78.0,1013.0,5.0,19.5,10.984000000000002,1.2
82.26940639269407,3.0,22.0,73.5,2.3,7.0,43.0,69.0,1009.0,5.0,26.5,10.984000000000002,2.0
82.26940639269407,0.4,23.5,71.5,8.0,8.0,40.0,66.0,1004.5,6.0,29.5,10.984000000000002,2.3
